# People and groups that have no row of their own in the source. The note is what a
# visitor reads, so it says who they are, not where the data came from; how the record
# got here is carried by its kind and shown separately on the page.
#   record      a person the source names, researched into a record here and given dates
#   ghost       the same, but not identifiable: kept hollow and undated
#   collective  a group the source links to as if it were one thing
#   derived     something the source states in a column rather than a row
#   found       not named by the source at all: found on specimens in GBIF
# id|name|type|domain|kind|dates|source|note
#
# --- named in the source, researched into records here -------------------------
GH-DAVIES|Emily Davies|person|suff|record|1830-1921|https://en.wikipedia.org/wiki/Emily_Davies|Founder of Girton College, and the strategist of women's access to university education. She came to Manchester in 1866 to put the case to the Schoolmistresses Association.
GH-ACLOUGH|Anne Jemima Clough|person|suff|record|1820-1892|https://en.wikipedia.org/wiki/Anne_Clough|The first principal of Newnham College, and before that the organiser of the North of England Council for Promoting the Higher Education of Women, which ran the lecture schemes Manchester's schoolmistresses built on.
GH-MCLAREN|Priscilla Bright McLaren|person|suff|record|1815-1906|https://en.wikipedia.org/wiki/Priscilla_Bright_McLaren|Sister of John and Jacob Bright, and a suffrage campaigner in her own right for fifty years. She spoke at the Manchester society's first public meeting in 1868.
GH-NIGHTINGALE|Florence Nightingale|person|civic|record|1820-1910|https://en.wikipedia.org/wiki/Florence_Nightingale|The reformer of hospital nursing, and of the workhouse infirmaries that were the poor's only hospitals. This collection records her as a visitor to Salford Workhouse; that visit is the only thing that connects her to Manchester here, and it has not been confirmed.
GH-NESWS|North of England Society for Women's Suffrage|org|suff|record|1867-1900|https://en.wikipedia.org/wiki/North_of_England_Society_for_Women%27s_Suffrage|The regional suffrage body that grew out of the Manchester society and covered the northern counties. Esther Roper was its secretary, and used it to organise women textile workers rather than only the middle class.
#
# --- named, but not identifiable ------------------------------------------------
GH-ROBERTSON|Anne Robertson|person|suff|ghost||https://en.wikipedia.org/wiki/Manchester_Society_for_Women%27s_Suffrage|Spoke at the first public meeting for women's suffrage in Manchester, in 1868, and then vanishes. Who she was is an open question.
GH-ASHWELL|Frances Ashwell|person|suff|ghost||https://www.wcml.org.uk/our-collections/working-lives/womens-history/|Present at the founding of the Manchester and Salford Women's Trades Council in 1895. Nothing else about her survives here.
GH-BROADHURST|Mrs Broadhurst|person|reform|ghost||https://www.wcml.org.uk/our-collections/working-lives/womens-history/|One of the founders of the Female Political Union in 1833, recorded - as women of her generation usually were - only by her husband's surname. Her own name is not known.
#
# --- groups treated as a single actor -------------------------------------------
COL-001|Artisan botanists|org|nat|collective|1770-1900||Weavers, shoemakers, gardeners and dyers who taught themselves Linnaean botany out of borrowed books, met in pub back rooms on Sunday mornings, and built herbaria between shifts. They ran their own societies, set their own competitions, and knew the flora of south Lancashire better than anyone in a university did. This is the group the whole collection turns around.
COL-002|Manchester field naturalists|org|nat|collective|1850-1900||The naturalists who worked the ground rather than the cabinet: excursion parties that took the train out on a Saturday, walked the mosses and cloughs, and came back with records.
COL-003|Textile wealth|org|trade|collective|1780-1900||The cotton fortunes of Manchester, and what they bought: newspapers, private collections, exhibitions, parks and civic buildings. Much of it was made from slave-grown cotton, and several of the people here say so in their own records.
COL-004|Private collections and museum institutions|org|nat|collective|1820-1910||Where the private collections ended up. The societies and museums that absorbed cabinets and herbaria built at home, and the officers who catalogued them once they arrived.
COL-005|Manchester women's suffrage network|org|suff|collective|1860-1914||The Manchester women who organised for the vote, from the 1867 society through the Pankhursts' Women's Social and Political Union. Several of them came to it through science, teaching or the labour movement rather than from politics.
COL-006|Mosses, cloughs and river valleys|org|nat|collective|1770-1900||The collecting ground itself: the peat mosses, wooded cloughs and river valleys within a day's walk of the town. Chat Moss, White Moss, Kersal Moor, the Irwell and the Medlock - the places the specimens actually came from, before industry took most of them.
COL-007|Entomological collecting network|org|nat|collective|1820-1860||The chain of hands a specimen passed through. The Manchester moth went from Robert Cribb, who caught it, to Robert Wood, to John Curtis, who named it; the credit travelled in the opposite direction to the insect.
COL-008|Sidebotham family network|org|nat|collective|1820-1890||The Sidebothams, a Manchester family of calico printers who were also entomologists, microscopists and photographers - one of several families here where the trade and the science ran in the same household.
COL-010|Women's Co-operative Guild|org|reform|collective|1883-1914||Working women organised through the co-operative movement, meeting at Victoria Station and in the Co-operative Wholesale Society's building on Balloon Street. For many of them it was the first organisation they had ever belonged to.
#
# --- stated in a column rather than a row ----------------------------------------
COL-009|The Little Circle|org|press|derived|1821-1850||The group of Manchester reformers - mostly Unitarian, mostly in cotton - who met in the years after Peterloo and put up the money to found the Manchester Guardian in 1821. John Edward Taylor edited it; the others lent against a loan agreement that still names them. Eight of the men on it are in this collection, and their records describe where the money came from.
PL-GUARDIAN|Manchester Guardian offices|place|press|derived|1821-1900||The paper's offices, and the working address of twelve people here. Following who was based in one building is one of the plainest ways of seeing how a network held together.
PL-ARTTREASURES|Art Treasures Exhibition, Old Trafford|place|arts|derived|1857-1857||The largest art exhibition ever held in Britain, staged in a purpose-built glass hall at Old Trafford in 1857 and visited by more than a million people. Thomas Fairbairn chaired the executive committee, and Manchester's manufacturers lent the pictures.
PL-GAIETY|Gaiety Theatre, Manchester|place|arts|derived|1878-1920||A Peter Street theatre that ran as a music hall and variety house before Annie Horniman bought it in 1908 and turned it into Britain's first repertory theatre. Miss Lala performed here in its earlier life.
PL-PETERSFIELD|St Peter's Field|place|reform|derived|1800-1830|https://en.wikipedia.org/wiki/Peterloo_Massacre|The open ground off Peter Street where sixty thousand people gathered on 16 August 1819 to hear Henry Hunt, and where the yeomanry rode into them. Eighteen died. The Free Trade Hall was later built across part of it and the rest is St Peter's Square. Not a row on the Places sheet: the Timeline names it as the site and nothing else in the collection holds it.
#
# --- where the Greater Manchester material actually is ---------------------------
PL-OLDHAM|Gallery Oldham|place|nat|record|1883|https://hla.oldham.gov.uk/gallery/collections/|Oldham's museum, open since 1883, and one of the places the botany of Greater Manchester actually ended up. Oldham sat at the centre of the Lancashire artisan botanists' country, and the Head of Botany at Manchester Museum points here rather than to his own herbarium for local material.
PL-BOLTON|Bolton Museum and Art Gallery|place|nat|record|1884|https://www.boltonlams.co.uk/collections|Bolton's museum, open since 1884. Another local collection with local specimens in it, of the kind Manchester Museum's herbarium turns out to be short of.
PL-TAMESIDE|Tameside museums and galleries|place|nat|record||https://www.tameside.gov.uk/librariesandleisure/museumsandgalleries/museums-and-galleries-collections-overview#nat|The museum service for Ashton, Stalybridge, Hyde and Dukinfield - the eastern townships where the moss and clough collecting was done. Named by the Head of Botany at Manchester Museum as holding interesting people as well as interesting specimens.
#
# --- named on specimens, found through GBIF --------------------------------------
# "active YYYY-YYYY" is a collecting range read off the specimens themselves, not a
# lifespan; plain dates are birth and death confirmed against Wikidata.
GB-HUNT|George Edward Hunt|person|nat|found|active 1858-1870|https://www.gbif.org/occurrence/search?q=George%20Edward%20Hunt|A Manchester bryologist with 55 Greater Manchester specimens to his name, all of them now in the Natural History Museum in London. He turns up nowhere in this collection's own paperwork, which is a fair measure of how much of this network was never written down.
GB-JBWOOD|John Bland Wood|person|nat|found|1813-1890|https://www.gbif.org/occurrence/search?q=John%20Bland%20Wood|Botanist, and one of the heaviest collectors in this landscape: 36 Greater Manchester specimens gathered between the 1840s and the 1890s, held at the Natural History Museum.
GB-ROGERS|Thomas Rogers|person|nat|found|active 1866-1883|https://www.gbif.org/occurrence/search?q=Thomas%20Rogers%20moss|A bryologist working the Manchester mosses in the 1860s to 1880s. Fourteen of his specimens are digitised, and some have travelled as far as the museum in Wellington, New Zealand.
GB-WILD|Charles James Wild|person|nat|found|1853-1923|https://www.gbif.org/occurrence/search?q=Charles%20James%20Wild|Bryologist, naturalist and collector, working the ground around Manchester at the end of the 1870s.
GB-LEWIS|John Harbord Lewis|person|nat|found|1848-1906|https://www.gbif.org/occurrence/search?q=John%20Harbord%20Lewis|A botanist collecting around Manchester between 1879 and 1882.
GB-WHITEHEAD|John Whitehead|person|nat|found|active 1863-1917|https://www.gbif.org/occurrence/search?q=John%20Whitehead%20moss|Seventeen Greater Manchester specimens carry this name, spread across fifty-four years - long enough that it may be two men of the same name, a father and a son, which is a thing that happens repeatedly in this material.
GB-WHELDON|James Alfred Wheldon|person|nat|found|1862-1924|https://www.gbif.org/occurrence/search?q=James%20Alfred%20Wheldon|The single heaviest collector of Greater Manchester plants in the digitised record: 107 specimens. He was a Liverpool pharmacist and bryologist who worked the whole of south Lancashire, which is a reminder that this network did not stop at the county boundary.
