# People — transcribed from the cleaned workbook's People sheet, in its own row order
# (that sheet is sorted by ROLE, which is what pins the PDF's column-blocks together).
# id|name|domain|gender|birth|death|datesOrig|dateQc|role|category|relationships|spouse|decades|areas|note|link
# dateQc: P parsed from source · U unknown · A approximate · V various/group record · E death year expanded
# domain is assigned here, not in the workbook — see build.py.
200076|Hannah Mitchell|suff|F|1872|1956|1872–1956|Parsed from source|Socialist & Suffragette|Involved in the fights for women's suffrage and pacifism|||1890, 1900, 1910|Manchester, Bolton|Worked alongisde labour party leader, Keir Hardie|https://aboutmanchester.co.uk/hannah-mitchell-an-iconic-manchester-womens-hero/
200086|Caroline Martyn|suff|F|1867|1896|1867–1896|Parsed from source|Socialist speaker|Socialism, Trade Unionism||ILP, Trade Unions|1890s|Manchester|Key speaker on working-class women’s rights|https://en.wikipedia.org/wiki/Caroline_Martyn
200021|Emmeline Pankhurst|suff|F|1858|1928|1858–1928|Parsed from source|Suffragette|||||||https://www.pankhurstcentre.org.uk/emmeline-pankhurst/
200079|Annie Kenney|suff|F|1879|1953|1879–1953|Parsed from source|Suffragette|Working-class socialist militant|||1900s|Oldham, Manchester|Only working-class woman in senior leadership position in WSPU|https://www.wcml.org.uk/our-collections/activists/annie-kenney/
200062|Lily Maxwell|suff|F|1800|1876|c.1800–1876|Approximate|Suffragette|One of the first women to vote (illegally)|||1840, 50, 60|Chorton|Chorlton v Lings case|https://www.thehistorypress.co.uk/articles/lily-maxwell-the-first-woman-to-vote/
200084|Esther Roper|suff|F|1868|1938|1868–1938|Parsed from source|Suffragist|Women's Labour Rights||North of England Society for Women’s Suffrage|1890s–early 1900s|Manchester|Worked for women's labor rights; queer icon|https://en.wikipedia.org/wiki/Esther_Roper
200099|Ursula Mellor Bright|suff|F|1835|1915|1835–1915|Parsed from source|Suffragist, Activist|Women's Rights, Legal Reform|Wife of Jacob Bright; active campaigner for women’s legal and voting rights|||||https://en.wikipedia.org/wiki/Ursula_Mellor_Bright
200007|T. M. Gibson|reform|M|1803|1889|1803–1889|Parsed from source|Supporter|Anti Slavery||||||https://en.wikipedia.org/wiki/Thomas_Milner_Gibson
200009|Arthur Brown Forwood|trade|M|1836|1898|1836–1898|Parsed from source|Supporter|Pro slavery||||||https://www.oxforddnb.com/display/10.1093/ref%3Aodnb/9780198614128.001.0001/odnb-9780198614128-e-38693
200010|Henry Dresser|nat|M|1838|1915|1838–1915|Parsed from source|Supporter|Pro slavery||||||https://rylandscollections.com/2023/01/05/my-book-of-collectors-henry-eeles-dresser-and-victorian-ornithological-networks/
200011|Julius Sichel|trade|M|1802|1868|1802–1868|Parsed from source|Supporter|Pro slavery||||||https://vlex.co.uk/vid/sichel-v-mosenthal-806198805
200092|Catherine Buck Clarkson|reform|F|||Dates not publicly known|Unknown|Supporter|Anti-slavery, Religious|Wife of Thomas Clarkson; supported his abolitionist work, managed home life during campaigns|||||https://oac.cdlib.org/findaid/ark:/13030/tf8m3nb315/
200008|Richard Cobden|reform|M|1804|1865|1804–1865|Parsed from source|Supporter, MP|Anti Slavery, Free Trade/Liberals|Husband of Catherine Anne Williams||1830, 40, 50||supported Lincoln in US civil war|https://en.wikipedia.org/wiki/Richard_Cobden
200074|Annie Horniman|arts|F|1860|1937|1860–1937|Parsed from source|Theatre Patron|Founded and managed the Gaiety Theatre|||1880, 90, 1900|Manchester|Close friends with W.B Yeats|https://www.horniman.ac.uk/story/the-thoroughly-modern-annie-horniman/
200078|Mary Qualie|suff|F|1886|1958|1886–1958|Parsed from source|Trade Unionist|Born in Dublin but grew up in Manchester|||1890s, 1900s, 1910s|Manchester|Secretary of the Manchester Womens Trade Union Council|https://maryquaileclub.wordpress.com/who-was-mary-quaile/
200038|Mary Brotherton|reform|F|1782|1861|1782–1861|Parsed from source|Vegetarianism|||||Salford||https://vegsoc.org/who-we-are/history/
200037|Joseph Brotherton|reform|M|1783|1857|1783–1857|Parsed from source|Vegetarianism||Husband of Martha Harvey|||Salford||https://en.wikipedia.org/wiki/Joseph_Brotherton
200064|Charlotte Bronte|arts|F|1816|1855|1816–1855|Parsed from source|Writer|Wrote 'Jane Eyre' in Manchester|||1840ish|Manchester|Born and resided in South Yorkshire|https://www.annebronte.org/2020/03/15/the-brontes-manchester-and-isolation/
200082|Elizabeth Gaskell|arts|F|1810|1865|1810–1865|Parsed from source|Writer, Philanthropist|Literary, Reformist||Manchester elite, Unitarians|1830s–1860s|Ardwick, Manchester|Wrote novels about industrial Manchester; involved in charities|https://en.wikipedia.org/wiki/Elizabeth_Gaskell
200087|Martha Brotherton|reform|F|1782|1861|1782–1861|Parsed from source|Writer, Reformer|Vegetarianism, Religion|Wife of Joseph Brotherton; author of the first known vegetarian cookbook; active in reform circles||1782–1861||Author of Vegetable Cookery (1812), the first known vegetarian cookbook; active in the Bible Christian Church and social reform movements.|https://en.wikipedia.org/wiki/Martha_Brotherton
200093|Jenny von Westphalen Marx|reform|F|1814|1881|1814–1881|Parsed from source|Writer, Supporter|Socialism, Exile|Wife of Karl Marx; born aristocrat who endured poverty and exile for the socialist cause|||||https://en.wikipedia.org/wiki/Jenny_von_Westphalen
200088|Helen Brotherton|reform|F|1812|1898|1812–1898|Parsed from source||Daughter of Martha and Joseph Brotherton; vice-president of the Vegetarian Society; dedicated to charity and reform in Salford.|||1812–1898|||https://vegsoc.org/who-we-are/history/
200044|Bishop James Fraser|civic|M|1818|1885|1818–1885|Parsed from source||statues in Albert sq||||||https://en.wikipedia.org/wiki/James_Fraser_(bishop_of_Manchester)
200055|Duke of Wellington|civic|M|1769|1852|1769–1852|Parsed from source||statues MRI||||||https://discovery.nationalarchives.gov.uk/details/c/F257265
200032|Jacob Bright|suff|M|1821|1899|1821–1899|Parsed from source||Charitable work, status and local power|Husband of Ursula Mellor Bright|||||https://en.wikipedia.org/wiki/Jacob_Bright
200054|James Watt|nat|M|1736|1819|1736–1819|Parsed from source||statues MRI||||||https://en.wikipedia.org/wiki/James_Watt
200053|John Dalton|nat|M|1766|1844|1766–1844|Parsed from source||statues MRI||||||https://en.wikipedia.org/wiki/John_Dalton
200027|John Pendlebury|civic|M|||Unknown|Unknown||Disability||||||https://archives.wigan.gov.uk/entity/65598-john-pendlebury
200060|Joseph Heron|civic|M|1809|1889|1809–1889|Parsed from source||Town Clerk led on building Town Hall in Waterhouse design||||||https://en.wikipedia.org/wiki/Joseph_Heron
200089|Mary Louisa Armitt|nat|F|1851|1911|1851–1911|Parsed from source||Born in Salford; polymath who contributed to music criticism, ornithology, and founded the Armitt Library in Ambleside.|||1851–1911|||https://en.wikipedia.org/wiki/Mary_Louisa_Armitt
200033|Mark Phillips|civic|M|1800|1873|1800–1873|Parsed from source||Charitable work, status and local power||||||https://en.wikipedia.org/wiki/Mark_Philips_(politician)
200090|Shelagh Delaney|arts|F|1938|2011|1938–2011|Parsed from source||Playwright from Broughton, Salford; wrote A Taste of Honey (1958), depicting working-class life and women's experiences.|||1938–2011|||https://en.wikipedia.org/wiki/Shelagh_Delaney
200046|Mosley familu|civic|M|||Various|Various / group record||Sold rights of lord of the manor of Manchester to Manchester corporation in 1846||||||https://en.wikipedia.org/wiki/Mosley_baronets
200057|Robert Owen|reform|M|1771|1858|1771–1858|Parsed from source||mill owners Oxford road/River Medlock||||||https://en.wikipedia.org/wiki/Robert_Owen
200058|S&J Watts|trade|M|||Various|Various / group record||warehouse now Britannia hotel||||||https://en.wikipedia.org/wiki/Watts_Warehouse
200017|Sir John Potter|civic|M|1815|1858|1815–1858|Parsed from source||Palmerstonians/conservatives||||||https://en.wikipedia.org/wiki/John_Potter_(Liberal_politician)
200030|Thomas Bazley|trade|M|1797|1885|1797–1885|Parsed from source||Charitable work, status and local power||||||https://www.oxforddnb.com/view/10.1093/ref%3Aodnb/9780198614128.001.0001/odnb-9780198614128-e-1788?docPos=1
200026|Thomas Henshaw Blind Asylum|civic|M|1731|1810|1731–1810|Parsed from source||Disability||||||https://rylandscollections.com/2017/10/05/history-at-your-fingertips-celebrating-the-180th-anniversary-of-henshaws/
200059|William Fairburn|trade|M|1789|1874|1789–1874|Parsed from source||campaigning and design for outdoor public spaces||||||https://en.wikipedia.org/wiki/William_Fairbairn
200031|William Henry Holdsworth|trade|M|||Unknown|Unknown||Charitable work, status and local power||||||https://en.wikipedia.org/wiki/Sir_William_Houldsworth,_1st_Baronet
200029|William Romaine Callender Jr.|trade|M|1825|1876|1825–1876|Parsed from source||Charitable work, status and local power||||||https://archive.org/download/annalsofmanchest00axon/annalsofmanchest00axon.pdf
VM-ADD-001|Edward Baxter|trade|M||||Unknown||A wealthy Unitarian cotton merchant and cotton manufacturer in Manchester. Baxter was further linked with the transatlantic slave economy as a calico printer, manufacturer of muslin, member of the Manchester Chamber of Commerce, and one of the founders and directors of the Manchester Savings Bank.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-002|William Duckworth|trade|M||||Unknown||A Unitarian attorney and son-in-law of Robert Philips. Duckworth would have benefited from the cotton trade through his family’s property holdings. Along with John Edward Taylor and George William Wood, Duckworth was recorded in 1826 as being in support of “meliorating the condition of the Slave Population of the Colonies”.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-003|Robert Philips|trade|M||||Unknown||The cousin of Sir George Philips, whose connections with slavery spanned partnerships in Philips, Wood & Co (a hat-making firm with strong links to enslaved labour in Brazil), Shuttleworth, Taylor & Co, and familial relations with the Hibbert and Yates families, who were both enslavers.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-004|Samuel Pullein|trade|M||||Unknown||Likely to have been an influential member of the mercantile Manchester community in the 1800s. Pullein was associated with transatlantic slavery as a calico printer and was director and trustee of the Manchester Fire and Life Assurance Company for many years.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-005|Thomas B. W. Sanderson|trade|M||||Unknown||A well-connected member of elite Manchester society. Sanderson was linked to transatlantic slavery through his business operations as a merchant and manufacturer of, and dealer in, cotton goods and supplies.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-006|George William Wood|trade|M||||Unknown||A relative of the Philips family, Wood was considered a leading merchant in Manchester. He was linked to transatlantic slavery as a partner in Philips, Wood & Co and Shuttleworth, Taylor & Co. Twice president of the Manchester Chamber of Commerce and an MP, and considered to be “a leading merchant” in Manchester, Wood is emblematic of the interconnectedness between Manchester cotton merchants and the city’s elite social, political and cultural community.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-007|Thomas Johnson|trade|M||||Unknown||The original Manchester Guardian loan agreement names him as a merchant.||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
VM-ADD-008|Thomas Wilkins|trade|M||||Unknown||The original Manchester Guardian loan agreement names him as a merchant. A secondary source lists him as a cotton merchant, which suggests a link to slavery,||||||https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
