id,name,field,founded,type,role_in_network,connected_people,key_places,research_status,priority,open_question,qc_flag,links,source_url
ORG-NH-009,Manchester Cryptogamic Society,nat,19th century - verify,Specialist botanical society,"Potential link between moss, liverwort, fern and fungus specialists and the herbarium.",James Cash; Benjamin Carrington; artisan bryologists,Manchester,Needs checking,High,"Confirm foundation date, formal name, membership and relationship to other societies.",,3,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
ORG-NH-010,Manchester Society of Botanists / informal botanist network,nat,Early 19th century,Informal working-class network,"Loose grouping without a regular meeting place, funds, books or rules, united by interest in plants.",John Horsefield and other artisan botanists,Manchester and surrounding townships,Needs checking,High,Record alternative names and avoid turning an informal network into a falsely formal organisation.,,4,https://historicengland.org.uk/listing/the-list/list-entry/1406283
ORG-NH-011,Bury Botanical and Entomological Society,nat,By 1830,Botanical and entomological society,Potential connection between botany and entomology in the wider Greater Manchester artisan network.,John Horsefield and regional naturalists,Bury,Needs checking,Investigate,"Confirm date, membership and relationship to Prestwich.",,1,https://historicengland.org.uk/listing/the-list/list-entry/1406283
ORG-BASE-001,Manchester Corporation,civic,1838,Municipal Government,Established under the Municipal Corporations Act; marked the beginning of modern local government.,,Manchester,Existing workbook,Context,,PDF source text clipped - verify final wording,5,https://discovery.nationalarchives.gov.uk/details/a/A13531000
ORG-BASE-002,Manchester Powers (Improvement Act),civic,1842,Legislative Act,Gave expanded administrative powers to the Corporation over urban government.,,Manchester,Existing workbook,Context,,PDF source text clipped - verify final wording,1,https://discovery.nationalarchives.gov.uk/details/a/A13531000
ORG-BASE-003,Manchester Diocese,civic,1847,Religious Authority,Created a new bishopric in the Anglican Church to serve industrial Lancashire.,Bishop James Fraser,Manchester,Existing workbook,Context,,PDF source text clipped - verify final wording,2,https://www.manchester.anglican.org/our-diocese/about-us/parish-records/
ORG-BASE-004,Manchester and Salford Women's Trades Council,suff,1895,Labour / NGO,Promoted women's unionism; pivotal in bringing working-class women into organised labour.,Sarah Dickenson; Eva Gore-Booth; Mary Qualie,Manchester,Existing workbook,Context,,PDF source text clipped - verify final wording,7,https://www.wcml.org.uk/our-collections/working-lives/womens-history/
ORG-BASE-005,Manchester National Society for Women's Suffrage,suff,1867,Women's Rights NGO,One of the first formal suffrage organisations in the UK.,Lydia Becker; Esther Roper; Jacob Bright; Ursula Mellor Bright,Manchester,Existing workbook,Context,,PDF source text clipped - verify final wording,10,https://discovery.nationalarchives.gov.uk/details/r/604bfcb0-97a1-4dd9-899c-25b7564642d0
ORG-BASE-006,Union and Emancipation Society,reform,1863,Anti-slavery NGO,Campaigned against slavery and for working-class rights during the US Civil War.,,Manchester,Existing workbook,Context,,,1,https://medium.com/special-collections/manchesters-union-and-emancipation-society-b9dca021a8f6
ORG-BASE-007,Ladies' Educational Association,suff,1865,Education NGO,Pushed for women's access to higher education; precursor to university reform.,,Manchester,Existing workbook,Context,,,2,https://www.wea.org.uk/archive
ORG-BASE-008,Manchester Statistical Society,civic,1833,Research / Civic NGO,One of the world's oldest statistical societies; supported reform with evidence.,,Manchester,Existing workbook,Context,,,1,https://manchesterstatsoc.org.uk/
ORG-BASE-009,Manchester Athenaeum,civic,1837,Cultural / Educational NGO,Centre for working men's education and civic debate.,Sarah Parker Remond,Manchester,Existing workbook,Context,,,1,https://discovery.nationalarchives.gov.uk/details/c/F145561
ORG-BASE-010,Manchester Schoolmistresses Association,suff,1865,Professional / Education NGO,Supported women teachers and advocated for gender equity in education.,Elizabeth Wolstenholme; Anne Clough; Emily Davies,Manchester,Existing workbook,Context,,,5,https://discovery.nationalarchives.gov.uk/results/r?_q=Manchester%20Schoolmistresses%20Association
ORG-BASE-011,Manchester Co-operative Society,reform,1859,Co-operative Movement,"Promoted ethical consumerism and mutual aid, particularly among working people.",,Manchester,Existing workbook,Context,,,1,https://www.co-operativeheritage.coop/archives
ORG-BASE-012,Chorlton-on-Medlock Board of Guardians,civic,c. 1834,Poor Law Governance,Managed workhouses and relief; later linked to women reformers including Emmeline Pankhurst.,Emmeline Pankhurst,Manchester,Existing workbook,Context,,,2,https://www.workhouses.org.uk/Chorlton/
ORG-BASE-013,Bible Christian Church,reform,1809,,"Promoted vegetarianism, temperance and social reform.",Martha Brotherton; Joseph Brotherton,Salford,Existing workbook,Context,,,2,https://www.library.manchester.ac.uk/rylands/special-collections/subject-areas/methodist-archives-and-research-collections/manuscriptsandarchives/lewis-court-bible-christian-collection/
ORG-BASE-014,Vegetarian Society,reform,1847,,Advocated for vegetarianism; Helen Brotherton served as vice-president.,Helen Brotherton; Mary Brotherton; Joseph Brotherton,Salford,Existing workbook,Context,,,4,https://vegsoc.org/who-we-are/history/
ORG-BASE-015,Manchester and Salford Boys and Girls Refuge,civic,1870,,Provided shelter and support for homeless children.,,Salford,Existing workbook,Context,,,1,https://www.togethertrust.org.uk/our-heritage
COL-001,Artisan botanists,nat,,,,,,Needs checking,High,,,25,
COL-002,Manchester field naturalists,nat,,,,,,Needs checking,High,,,3,
COL-003,Textile wealth,trade,,,,,,Needs checking,High,,,9,
COL-004,Private collections and museum institutions,nat,,,,,,Needs checking,High,,,10,
COL-005,Manchester women's suffrage network,suff,,,,,,Needs checking,High,,,4,
COL-006,"Mosses, cloughs and river valleys",nat,,,,,,Needs checking,High,,,1,
COL-007,Entomological collecting network,nat,,,,,,Needs checking,High,,,1,
COL-008,Sidebotham family network,nat,,,,,,Needs checking,High,,,1,
COL-010,Women's Co-operative Guild,reform,,,,,,Needs checking,High,,,2,
GH-NESWS,North of England Society for Women's Suffrage,suff,,,,,,Needs checking,Investigate,,,1,
COL-009,The Little Circle,press,,,,,,Needs checking,High,,,9,
COL-022,Circus and popular performance,arts,,,,,,Existing workbook,Context,,,3,
COL-013,Free trade and Liberalism,reform,,,,,,Existing workbook,Context,,,3,
COL-011,Anti-slavery campaigning,reform,,,,,,Existing workbook,Context,,,8,
COL-018,Industry and manufacture,trade,,,,,,Existing workbook,Context,,,4,
COL-015,"Charitable work, status and local power",civic,,,,,,Existing workbook,Context,,,6,
COL-016,Journalism,press,,,,,,Existing workbook,Context,,,5,
COL-017,Elected politics and local power,civic,,,,,,Existing workbook,Context,,,5,
COL-021,"Manchester Royal Jubilee Exhibition, 1887",arts,,,,,,Existing workbook,Context,,,2,
COL-014,Palmerstonian conservatism,civic,,,,,,Existing workbook,Context,,,3,
COL-023,Socialism and the labour movement,reform,,,,,,Existing workbook,Context,,,2,
COL-012,Pro-slavery interests,trade,,,,,,Existing workbook,Context,,,3,
COL-019,Provision for blind and disabled people,civic,,,,,,Existing workbook,Context,,,2,
COL-020,Museum collections,nat,,,,,,Existing workbook,Context,,,2,
