id,name,kind,field,gender,birth,death,dates_original,date_qc,role,category,specialism,background,knowledge_role,decades_active,gm_areas,collections,destination,politics,religion,building,note,relationships,record_type,source_id,merged_from,merge_note,research_status,priority,open_question,qc_flag,active_from,active_to,active_source,links,link
200009,Arthur Brown Forwood,record,trade,M,1836,1898,1836–1898,Parsed from source,Supporter,Pro slavery,,,,,,,,,,,,,Person,200009,,,Core entry,Existing,,,1861,1898,inferred,1,https://www.oxforddnb.com/display/10.1093/ref%3Aodnb/9780198614128.001.0001/odnb-9780198614128-e-38693
200075,Arthur Wharton,record,arts,M,1865,1930,1865–1930,Parsed from source,Footballer,First black professional footballer,,,,"1880, 90, 1900s","Stockport, Ashton-under- Lyne",,,,,,Blue plaque in Tameside,,Person,200075,,,Core entry,Existing,,,1880,1909,workbook,1,http://www.bbc.co.uk/tyne/roots/2003/10/arthur_wharton.shtml
NH-008,Benjamin Carrington,record,nat,M,1827,1893,1827–1893,Parsed from source,Physician & botanist,Professional science; medicine,Bryology; cryptogams; fungi; lichens,Physician; professionalising botanist,Taxonomist; author; collector,1850s–1890s,Manchester,Hepaticae Britannicae exsiccatae and herbarium material,Manchester Museum Herbarium,,,,"Specialist in bryophytes, cryptogams, fungi and lichens.",Manchester herbarium network; William Henry Pearson,Person,NH-008,,,Researched for this,High,"Map his medical, microscopical and herbarium relationships.",,1850,1899,workbook,5,https://archiveshub.jisc.ac.uk/data/gb2875-bal
200020,Benjamin Heywood,record,trade,M,1793,1865,1793–1865,Parsed from source,"MP, Philanthropost",Palmerstonians/conservatives,,,,,,,,,,,,,Person,200020,,,Core entry,Existing,,,1818,1865,inferred,2,https://www.natwestgroup.com/heritage/people/benjamin-heywood.html
200044,Bishop James Fraser,record,civic,M,1818,1885,1818–1885,Parsed from source,,statues in Albert sq,,,,,,,,,,,,,Person,200044,,,Core entry,Existing,,,1843,1885,inferred,2,https://en.wikipedia.org/wiki/James_Fraser_(bishop_of_Manchester)
200086,Caroline Martyn,record,suff,F,1867,1896,1867–1896,Parsed from source,Socialist speaker,"Socialism, Trade Unionism",,,,1890s,Manchester,,,Socialist,,,Key speaker on working-class women's rights,,Person,200086,,,Core entry,Existing,,,1890,1899,workbook,2,https://en.wikipedia.org/wiki/Caroline_Martyn
200091,Catherine Anne Cobden,record,reform,F,1815,1877,1815–1877,Parsed from source,Campaigner,"Free Trade, Women's Education",,,,,,,,,,,,Wife of Richard Cobden; supported education and published her husband's letters posthumously,Person,200091,,,Core entry,Existing,,,1840,1877,inferred,2,https://www.oxforddnb.com/display/10.1093/ref%3Aodnb/9780198614128.001.0001/odnb-9780198614128-e-56224
200092,Catherine Buck Clarkson,record,reform,F,,,Dates not publicly known,Unknown,Supporter,"Anti-slavery, Religious",,,,,,,,–,,,,"Wife of Thomas Clarkson; supported his abolitionist work, managed home life during campaigns",Person,200092,,,Core entry,Existing,,,1785,1846,estimated,2,https://oac.cdlib.org/findaid/ark:/13030/tf8m3nb315/
NH-009,Charles Bailey,record,nat,M,1838,1924,1838–1924,Parsed from source,Botanist & collector,Museum collections,Botany,Collector; institutional donor,Collector; curator-like organiser,1860s–1910s,Manchester,Large British and European herbarium,Manchester Museum Herbarium (1917),,,,Built one of the three major personal herbaria incorporated into Manchester Museum.,Manchester Museum herbarium network,Person,NH-009,,,Researched for this,High,"Trace how the collection was financed, organised and transferred.",,1860,1919,workbook,5,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
200064,Charlotte Brontë,record,arts,F,1816,1855,1816–1855,Parsed from source,Writer,Wrote 'Jane Eyre' in Manchester,,,,1840ish,Manchester,,,,,,Born and resided in South Yorkshire,,Person,200064,,,Core entry,Existing,,,1840,1849,workbook,1,https://www.annebronte.org/2020/03/15/the-brontes-manchester-and-isolation/
NH-010,Cosmo Melvill,record,nat,M,1845,1929,1845–1929,Parsed from source,Naturalist & collector,Museum collections,Botany; conchology,Collector,Collector; author; donor,1860s–1900s,Manchester,General herbarium,Manchester Museum Herbarium (1904),,,,His herbarium became one of Manchester Museum's three major personal botanical collections.,Manchester Museum herbarium network,Person,NH-010,,,Researched for this,High,"Investigate commercial, imperial and specimen-supply networks.",,1860,1909,workbook,5,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
200019,Daniel Adamson,record,trade,M,1820,1890,1820–1890,Parsed from source,Ship Canal engineer,Palmerstonians/conservatives,,,,,,,,,,,,,Person,200019,,,Core entry,Existing,,,1845,1890,inferred,1,https://en.wikipedia.org/wiki/Daniel_Adamson
200055,Duke of Wellington,record,civic,M,1769,1852,1769–1852,Parsed from source,,statues MRI,,,,,,,,,,,,,Title / unresolved person,200055,,,Core entry,Existing,,RECORD TYPE: Title / unresolved person,1794,1852,inferred,1,https://discovery.nationalarchives.gov.uk/details/c/F257265
VM-ADD-001,Edward Baxter,record,trade,M,,,,Unknown,,"A wealthy Unitarian cotton merchant and cotton manufacturer in Manchester. Baxter was further linked with the transatlantic slave economy as a calico printer, manufacturer of muslin, member of the Manchester Chamber of Commerce, and one of the founders and directors of the Manchester Savings Bank.",,,,,,,,,,,,,Person,VM-ADD-001,,,Core entry,Existing,,Assigned - source ID missing,1780,1900,estimated,1,https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
NH-003,Edward Hobson,record,nat,M,1782,1830,1782–1830,Parsed from source,Bryologist & artisan naturalist,Artisan botany,Bryology; cryptogams,Artisan naturalist,Collector; identifier; specimen preparer,1810s–1820s,Manchester,British mosses and hepatics; Musci Britannici material,Manchester Museum Herbarium,,,,Early Manchester specialist in mosses and liverworts.,John Horsefield; Manchester artisan botanists,Person,NH-003,,,Researched for this,Essential,"Verify occupation, society memberships and direct relationships.",,1810,1829,workbook,2,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
200072,Edward Potts,record,civic,M,1839,1909,1839–1909,Parsed from source,Architect,,,,,"1870, 80, 90","Oldham, Eccles/Salford",,,,,,Design and builder of multiple mills esp in Oldham,"2,3,7",Person,200072,,,Core entry,Existing,,,1870,1899,workbook,1,https://en.wikipedia.org/wiki/Edward_Potts_(architect)
NH-019,Edwin Clough,record,nat,M,,,Unknown,Unknown,Botanist,Artisan botany,Botany,Unknown,Society participant,19th century,Ashton-under-Lyne,,,,,,Named by Grindon among local botanists attending regional gatherings.,Regional botanical gatherings,Person,NH-019,,,Needs checking,Investigate,Find full identity and relationship evidence.,,1800,1899,workbook,1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
200082,Elizabeth Gaskell,record,arts,F,1810,1865,1810–1865,Parsed from source,"Writer, Philanthropist","Literary, Reformist",,,,1830s–1860s,"Ardwick, Manchester",,,Liberal,Unitarian,,Wrote novels about industrial Manchester; involved in charities,,Person,200082,,,Core entry,Existing,,,1830,1869,workbook,9,https://en.wikipedia.org/wiki/Elizabeth_Gaskell
GH-WOLSTENHOLME,Elizabeth Wolstenholme Elmy,record,suff,,1833,1918,1833-1918,,,,,,,,,,,,,,"Schoolmistress, and one of the most radical and least comfortable figures in the suffrage movement. She founded the Manchester Schoolmistresses Association, campaigned on married women's property and on the law's treatment of women's bodies, and refused to soften any of it.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1858,1918,researched,4,https://en.wikipedia.org/wiki/Elizabeth_Wolstenholme_Elmy
GH-DAVIES,Emily Davies,record,suff,,1830,1921,1830-1921,,,,,,,,,,,,,,"Founder of Girton College, and the strategist of women's access to university education. She came to Manchester in 1866 to put the case to the Schoolmistresses Association.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1855,1921,researched,1,https://en.wikipedia.org/wiki/Emily_Davies
200021,Emmeline Pankhurst,record,suff,F,1858,1928,1858–1928,Parsed from source,Suffragette,,,,,,,,,,,,"Founder of the Women's Social and Political Union, which took the campaign for the vote from petitions to militancy. She came up through Manchester radical politics and served as a Poor Law Guardian in Chorlton-on-Medlock; her house on Nelson Street is now the Pankhurst Centre.",,Person,200021,,,Core entry,Existing,,,1883,1928,inferred,2,https://www.pankhurstcentre.org.uk/emmeline-pankhurst/
200040,Enriqueta Augustina Rylands,record,civic,F,1843,1908,1843–1908,Parsed from source,"Founder, Patron","Religion, Libraries",,,,,,,,,,,,,Person,200040,,,Core entry,Existing,,,1868,1908,inferred,3,https://en.wikipedia.org/wiki/Enriqueta_Rylands
200084,Esther Roper,record,suff,F,1868,1938,1868–1938,Parsed from source,Suffragist,Women's Labour Rights,,,,1890s–early 1900s,Manchester,,,Labour-leaning,Secular,,Worked for women's labor rights; queer icon,,Person,200084,,,Core entry,Existing,,,1890,1909,workbook,5,https://en.wikipedia.org/wiki/Esther_Roper
200085,Eva Gore-Booth,record,suff,F,1870,1926,1870–1926,Parsed from source,"Poet, Suffragist","Literary, LGBTQ+ History",,,,1890s–1910s,Manchester,,,Labour,Spiritualist,,Partner of Esther Roper; campaigned for women's and workers' rights,,Person,200085,,,Core entry,Existing,,,1890,1919,workbook,6,https://en.wikipedia.org/wiki/Eva_Gore-Booth
GH-NIGHTINGALE,Florence Nightingale,record,civic,,1820,1910,1820-1910,,,,,,,,,,,,,,"The reformer of hospital nursing, and of the workhouse infirmaries that were the poor's only hospitals. This collection records her as a visitor to Salford Workhouse; that visit is the only thing that connects her to Manchester here, and it has not been confirmed.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1845,1910,researched,2,https://en.wikipedia.org/wiki/Florence_Nightingale
GH-ASHWELL,Frances Ashwell,ghost,suff,,,,,,,,,,,,,,,,,,Present at the founding of the Manchester and Salford Women's Trades Council in 1895. Nothing else about her survives here.,,"Named in the workbook, no record of its own",,,,Needs checking,Investigate,,,1895,1895,estimated,1,https://www.wcml.org.uk/our-collections/working-lives/womens-history/
200035,Friedrich Engels,record,reform,M,1820,1895,1820–1895,Parsed from source,Socialism,,,,,,"Manchester, Salford",,,Had long-term relationships with Mary Burns and later her sister Lydia Burns but did not marry.,,,"Manager of his father's cotton mill in Salford and, on the same streets, the author of The Condition of the Working Class in England. He wrote it from what he saw walking Manchester with Mary Burns.",Unmarried,Person,200035,,,Core entry,Existing,,FIRST NAME MISSING,1845,1895,inferred,1,https://en.wikipedia.org/wiki/Friedrich_Engels
NH-013,George Crozier,record,nat,M,,,Unknown,Unknown,Artisan naturalist,Artisan botany,Botany; natural history,Manual worker / shop-based artisan,Collector; participant,Early 19th century,Shudehill; Manchester,,,,,Workshop on Shudehill,Remembered by Grindon as practising natural history alongside manual work.,Manchester artisan naturalists,Person,NH-013,,,Needs checking,High,"Identify occupation, full dates and specimens/publications.",,1800,1839,workbook,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-018,George Hulme,record,nat,M,,,Unknown,Unknown,Botanist,Artisan botany,Botany,Unknown,Society participant,19th century,Prestwich,,,,,,Named by Grindon among local botanists attending regional gatherings.,Regional botanical gatherings,Person,NH-018,,,Needs checking,Investigate,Find full identity and relationship evidence.,,1800,1899,workbook,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
VM-ADD-006,George William Wood,record,trade,M,,,,Unknown,,"A relative of the Philips family, Wood was considered a leading merchant in Manchester. He was linked to transatlantic slavery as a partner in Philips, Wood & Co and Shuttleworth, Taylor & Co. Twice president of the Manchester Chamber of Commerce and an MP, and considered to be “a leading merchant” in Manchester, Wood is emblematic of the interconnectedness between Manchester cotton merchants and the city's elite social, political and cultural community.",,,,,,,,,,,,,Person,VM-ADD-006,,,Core entry,Existing,,Assigned - source ID missing,1780,1900,estimated,3,https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
200005,Granville Sharp,record,reform,M,1735,1813,1735–1813,Parsed from source,Campaigner,Anti Slavery,,,,,,,,Died unmarried in 1813.,,,,Unmarried,Person,200005,,,Core entry,Existing,,,1760,1813,inferred,1,https://www.npg.org.uk/collections/search/person/mp04066/granville-sharp
200002,Greg family,record,trade,M,,,Various,Various / group record,Campaigner,Anti Slavery,,,,,,,,,,,,,Family,200002,,,Core entry,Existing,,RECORD TYPE: Family,1760,1889,estimated,1,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/quarry-bank/history-of-quarry-bank
200076,Hannah Mitchell,record,suff,F,1872,1956,1872–1956,Parsed from source,Socialist & Suffragette,Involved in the fights for women's suffrage and pacifism,,,,"1890, 1900, 1910","Manchester, Bolton",,,,,,"Worked alongisde labour party leader, Keir Hardie",,Person,200076,,,Core entry,Existing,,,1890,1919,workbook,1,https://aboutmanchester.co.uk/hannah-mitchell-an-iconic-manchester-womens-hero/
GH-BRITTEN,Harry Britten,record,nat,,1870,1954,1870-1954,,,,,,,,,,,,,,"Entomologist, later keeper of entomology at the Manchester Museum. The point at which the town's amateur collecting tradition became a museum job.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1895,1954,researched,1,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
200061,Harry Stokes,record,civic,F/M,1799,1859,c.1799–1859,Approximate,Constable,Assigned female at birth but lived as a man,,,,"1830, 40, 50","Salford, Manchester",,,,,,Owned a bar on Quay Street,,Person,200061,,,Core entry,Existing,,,1830,1859,workbook,1,https://wearewarpandweft.wordpress.com/harry-stokes-a-female-husband-in-manchester/
200088,Helen Brotherton,record,reform,F,1812,1898,1812–1898,Parsed from source,,Daughter of Martha and Joseph Brotherton; vice-president of the Vegetarian Society; dedicated to charity and reform in Salford.,,,,1812–1898,,,,,,,,,Person,200088,,,Core entry,Existing,,,1812,1898,workbook,2,https://vegsoc.org/who-we-are/history/
200010,Henry Dresser,record,nat,M,1838,1915,1838–1915,Parsed from source,Supporter,Pro slavery,,,,,,,,,,,,,Person,200010,,,Core entry,Existing,,,1863,1915,inferred,1,https://rylandscollections.com/2023/01/05/my-book-of-collectors-henry-eeles-dresser-and-victorian-ornithological-networks/
NH-020,Henry Newton,record,nat,M,,,Unknown,Unknown,Botanist,Artisan botany,Botany,Unknown,Society participant,19th century,Ashton-under-Lyne,,,,,,Named by Grindon among local botanists attending regional gatherings.,Regional botanical gatherings,Person,NH-020,,,Needs checking,Investigate,Find full identity and relationship evidence.,,1800,1899,workbook,1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
200028,Hugh Hornby Birley,record,trade,M,1778,1845,1778–1845,Parsed from source,Deaf institute,"Charitable work, status and local power",,,,,,,,,,,"mill owners Oxford road/River Medl, ockotton manufacturer,",,Person,200028,,,Core entry,Existing,,,1803,1845,inferred,1,https://en.wikipedia.org/wiki/Hugh_Hornby_Birley
200018,J. A. Turner,record,civic,M,,,Unknown,Unknown,MP,Palmerstonians/conservatives,,,,,,,,,,,,,Person,200018,,,Core entry,Existing,,,1818,1890,estimated,1,https://en.wikipedia.org/wiki/James_Aspinall_Turner
200051,J. Arnout,record,arts,M,,,Unknown,Unknown,Lithograph of MRI 1857,,,,,,,,,,,,The lithographer of an 1857 view of the Royal Infirmary - one of the images through which Victorian Manchester saw its own institutions.,,Person,200051,,,Core entry,Existing,,,1752,1752,estimated,1,https://archive.org/details/gri_33125009489408
200032,Jacob Bright,record,suff,M,1821,1899,1821–1899,Parsed from source,,"Charitable work, status and local power",,,,,,,,Noted women's rights activist and suffragist.,,,,Husband of Ursula Mellor Bright,Person,200032,,,Core entry,Existing,,,1846,1899,inferred,5,https://en.wikipedia.org/wiki/Jacob_Bright
GH-CASH,James Cash,record,nat,,1839,1909,1839-1909,,,,,,,,,,,,,,"A Manchester microscopist who worked on freshwater rhizopods, and a mainstay of the town's cryptogamic and microscopical societies.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1864,1909,researched,1,https://en.wikipedia.org/wiki/Manchester_Microscopical_Society
NH-025,James Devonport,record,nat,M,,,Unknown,Unknown,Botanist,Artisan botany,Botany,Unknown,Society participant,19th century,Droylsden,,,,,,Named by Grindon among local botanists attending regional gatherings.,Regional botanical gatherings,Person,NH-025,,,Needs checking,Investigate,Verify spelling and full identity.,,1800,1899,workbook,1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
200041,James Groves,record,trade,M,,,Unknown,Unknown,Founder,"Salford Lads Club, Groves and Whitnall Breweries",,,,,Salford,,,,,,,,Person,200041,,,Core entry,Existing,,,1903,1903,estimated,1,https://salfordladsclub.org.uk/about/history/
200049,James McConnel,record,trade,M,,,Various,Various / group record,"Factory owners, Ancoats",,,,,,,,,,,,"The other half of McConnel & Kennedy, the Ancoats spinning firm. The mills the two of them built are the ones Engels walked past, and the ones the town's wealth was made in.",,Person,200049,,,Core entry,Existing,,FIRST NAME MISSING,1780,1789,estimated,2,https://rylandscollections.com/2023/09/18/mcconnel-and-kennedy/
200080,James Peters,record,arts,M,1879,1954,1879–1954,Parsed from source,Rugby Player,First black man to play rugby union for England,,,,1900s,Salford,,,,,,Remained only black rugby union player until 1988,,Person,200080,,,Core entry,Existing,,,1900,1909,workbook,1,https://www.theguardian.com/sport/2018/dec/26/jimmy-peters-race-pioneer-english-rugby-circus-big-top
200054,James Watt,record,nat,M,1736,1819,1736–1819,Parsed from source,,statues MRI,,,,,,,,,,,,,Person,200054,,,Core entry,Existing,,,1761,1819,inferred,1,https://en.wikipedia.org/wiki/James_Watt
200025,James Williamson,record,civic,M,1842,1930,1842–1930,Parsed from source,MP,Manchester Royal Jubilee Exhibition,,,,,,,,Married Margaret Gatey in 1869; Jessie Hulme in 1880; and Florence Whalley in 1909. lancaster.gov.uk,,,,Husband of 1) Margaret Gatey 2) Jessie Hulme 3) Florence Whalley,Person,200025,,,Core entry,Existing,,,1867,1930,inferred,1,"https://en.wikipedia.org/wiki/Sir_James_Williamson,_1st_Baronet"
200093,Jenny von Westphalen Marx,record,reform,F,1814,1881,1814–1881,Parsed from source,"Writer, Supporter","Socialism, Exile",,,,,,,,,,,,Wife of Karl Marx; born aristocrat who endured poverty and exile for the socialist cause,Person,200093,,,Core entry,Existing,,,1839,1881,inferred,2,https://en.wikipedia.org/wiki/Jenny_von_Westphalen
200070,Jerome Caminada,record,civic,M,1844,1914,1844–1914,Parsed from source,Police Officer,Dubbed as Manchester's Sherlock Holmes,,,,"1860, 70, 80","Hulme, Moss Side",,,Married in 1871; they had several children.,,,Led police raid on a cross-dressing ball in Hulme,Husband of Mary Ellen Walsh,Person,200070,,,Core entry,Existing,,,1860,1889,workbook,2,https://en.wikipedia.org/wiki/Jerome_Caminada
200012,John Bright,record,reform,M,1811,1889,1811–1889,Parsed from source,Campaigner,Free Trade/Liberals,,,,,,,,First married Elizabeth Priestman in 1839; she died in 1841. Remarried Margaret Elizabeth Leatham in 1847. WikipediaEncyclopedia Britannica,,,statues in Albert sq,Husband of 1) Elizabeth Priestman 2) Margaret Elizabeth Leatham,Person,200012,,,Core entry,Existing,,,1836,1889,inferred,2,https://en.wikipedia.org/wiki/John_Bright
NH-016,John Crowe,record,nat,M,,,Unknown,Unknown,Botanist,Artisan botany,Botany,Unknown,Society participant,19th century,Manchester,,,,,,Named by Grindon among Manchester botanists attending regional gatherings.,Regional botanical gatherings,Person,NH-016,,,Needs checking,Investigate,Find full identity and relationship evidence.,,1800,1899,workbook,1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-014,John Crowther,record,nat,M,1768,,1768–Unknown,Unknown,Artisan botanist,Artisan botany,Botany,Working naturalist,Collector; society participant,1770s–1840s,Eccles and regional network,,,,,,An early participant in rotating Lancashire botanical meetings; described by Grindon as a 'Banksian'.,Early Lancashire botanical societies,Person,NH-014,,,Needs checking,High,"Clarify 'Banksian', occupation and meeting circuit.",,1770,1849,workbook,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
GH-CURTIS,John Curtis,record,nat,,1791,1862,1791-1862,,,,,,,,,,,,,,"The entomologist who described and named the Manchester moth, in London, from a specimen sent up from Manchester. His British Entomology ran to sixteen volumes and settled who got the credit for a great many discoveries made by other people.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1816,1862,researched,3,https://en.wikipedia.org/wiki/John_Curtis_(entomologist)
200053,John Dalton,record,nat,M,1766,1844,1766–1844,Parsed from source,,statues MRI,,,,,,,,,,,,,Person,200053,,,Core entry,Existing,,,1791,1844,inferred,1,https://en.wikipedia.org/wiki/John_Dalton
NH-023,John Darbyshire,record,nat,M,,,Unknown,Unknown,Botanist,Artisan botany,Botany,Unknown,Society participant,19th century,Newton,,,,,,Named by Grindon among local botanists attending regional gatherings.,Regional botanical gatherings,Person,NH-023,,,Needs checking,Investigate,Confirm which Newton and find full identity.,,1800,1899,workbook,1,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
200100,John Edward Taylor,record,press,M,1791,1844,1791–1844,Parsed from source,"Founder, Editor",Journalism,,,,1820s–1840s,Manchester,,,Liberal,Unitarian,Manchester Guardian HQ,"Cotton merchant; co-founded Shuttleworth, Taylor & Co., which imported cotton produced by enslaved people from the Sea Islands region of the U.S. .",Married; husband of Sophia Russell Taylor (née Scott),Person,200100,200013,"Duplicate Review DUP-001. Two records for John Edward Taylor, founder of the Manchester Guardian; 200100 is the fuller record and the workbook names it as the one to keep.",Core entry,Existing,,DUP-001 KEEPER; relationship detail merged from 200013; DUP-001: Keeper for duplicate group; Richer John Edward Taylor record; spouse detail merged from 200013.,1820,1849,workbook,4,https://www.theguardian.com/news/ng-interactive/2023/mar/28/the-cotton-thread-guardian-founders-slavery-john-edward-taylor
200111,John Edward Taylor II,record,press,M,1830,1905,1830–1905,Parsed from source,"Editor, Owner",Journalism,,,,1850s–1900s,Manchester,,,Liberal,Unitarian,Manchester Guardian HQ,Son of John Edward Taylor; became co-owner in 1852 and sole owner in 1856; expanded the newspaper's reach .,Married,Person,200111,,,Core entry,Existing,,,1850,1909,workbook,2,https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
NH-002,John Horsefield,record,nat,M,1792,1854,1792–1854,Parsed from source,Botanist & handloom weaver,Artisan botany; mutual education,Botany; horticultural hybridisation,Handloom weaver; working-class autodidact,Founder; teacher; identifier; organiser,1800s–1850s,Besses o' th' Barn; Prestwich; Kersal Moor,Society meetings; shared books and herbaria; Narcissus 'Horsfieldii',,Radical sympathies,,,Founded the Prestwich Botanical Society in 1820; led local and regional botanical networks.,Richard Buxton; Prestwich Botanical Society; regional societies,Person,NH-002,,,Researched for this,Essential,"Capture pub meeting sites, book-pooling practices and his links to Peterloo/radical culture.",,1800,1859,workbook,17,https://historicengland.org.uk/listing/the-list/list-entry/1406283
200050,John Kennedy,record,trade,M,,,Various,Various / group record,"Factory owners, Ancoats",,,,,,,,,,,,"One half of McConnel & Kennedy, the Ancoats firm whose Sedgwick Mill was for a time among the largest cotton-spinning works in the world. Like his partner he came south from Scotland as a machine-maker and ended a manufacturer.",,Person,200050,,,Core entry,Existing,,FIRST NAME MISSING,1780,1789,estimated,2,https://en.wikipedia.org/wiki/McConnel_%26_Kennedy_Mills
NH-005,John Leigh Philips,record,nat,M,1761,1814,1761–1814,Parsed from source,Textile manufacturer & collector,Industry; collecting; museum formation,Natural history; entomology,Textile manufacturer; elite collector,Collector; patron,1780s–1810s,Longsight; Manchester,Private natural-history and insect collections,Manchester Society for the Promotion of Natural History; Manchester Museum,,,,His natural-history collection became foundational to Manchester's museum institutions.,Manchester Society for the Promotion of Natural History,Person,NH-005,,,Researched for this,Essential,Note a date discrepancy: one current University webpage states 1761–1841; the Museum archive and scholarship give 1761–1814.,,1780,1819,workbook,4,https://archiveshub.jisc.ac.uk/data/gb133-mma
NH-012,John Nowell,record,nat,M,,,Unknown,Unknown,Bryologist,Artisan botany,Bryology,Working-class naturalist,Collector; collaborator,1840s–1860s,Lancashire; Manchester network,Fasciculus of British Mosses with Richard Buxton,Manchester Museum Herbarium,,,,Collaborated with Buxton on a fasciculus of British mosses.,Richard Buxton,Person,NH-012,,,Needs checking,High,Confirm biography and Greater Manchester connection.,,1840,1869,workbook,1,https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
